Code,Description,CompCode,CompDescr,Code,Description
ELC_LGHT,Lighting Systems,EQ154,Canopy Soffit Lighting,PR6168,More than 50% of ceiling lights faulty
ELC_LGHT,Lighting Systems,EQ151,Automatic Lighting Systems,PR6169,Automatic lighting systems faulty
ELC_PWR,Power Supplies,EQ189,Electrical Transformers,PR6170,Site power transformer faulty
ELC_PWR,Power Supplies,EQ190,Power Generator,PR6171,Site power generator faulty
ELC_UPS,Uninterruptible power supply,EQ193,Site Main Uninterruptible Power Supply,PR6172,UPS faulty
ELC_UPS,Uninterruptible power supply,EQ194,Voltage Regulator / Line Conditioner,PR6173,Voltage regulator faulty
FCT_BOUN,Boundary,EQ197,Boundary Fence,PR6003,Major structural damage (HSSE Hazard)
FCT_BOUN,Boundary,EQ198,Boundary Walls,PR6003,Major structural damage (HSSE Hazard)
FCT_BOUN,Boundary,EQ199,Crash Barrier,PR6003,Major structural damage (HSSE Hazard)
FCT_BOUN,Boundary,EQ197,Boundary Fence,PR6004,Minor structural damage
FCT_BOUN,Boundary,EQ198,Boundary Walls,PR6004,Minor structural damage
FCT_BOUN,Boundary,EQ199,Crash Barrier,PR6004,Minor structural damage
FCT_BOUN,Boundary,EQ198,Boundary Walls,PR6012,Walls cracked or damaged
FCT_BOUN,Boundary,EQ197,Boundary Fence,PR6175,Fences damaged
FCT_BOUN,Boundary,EQ199,Crash Barrier,PR6176,Crash barrier damaged
FCT_DISC,Tanker Discharge Area,EQ200,Leak Tight Tanker Discharge Area,PR6003,Major structural damage (HSSE Hazard)
FCT_DISC,Tanker Discharge Area,EQ201,Tanker Discharge Area,PR6003,Major structural damage (HSSE Hazard)
FCT_DISC,Tanker Discharge Area,EQ200,Leak Tight Tanker Discharge Area,PR6004,Minor structural damage
FCT_DISC,Tanker Discharge Area,EQ201,Tanker Discharge Area,PR6004,Minor structural damage
FCT_DISC,Tanker Discharge Area,EQ200,Leak Tight Tanker Discharge Area,PR6010,Leak proof surfaces cracked or damaged
FCT_DISC,Tanker Discharge Area,EQ201,Tanker Discharge Area,PR6177,Road surfaces cracked or damaged
